Country,Region,Year,Oil_Production,Oil_Consumption,Oil_Imports,Oil_Exports,Oil_Price_USD,Gas_Production,Gas_Consumption,Gas_Imports,Gas_Exports,Gas_Price_USD
United States,North America,2010,81.0,89.2,12.66,0.0,70.12,510.65,537.17,48.0,0.0,5.37
United States,North America,2011,83.18,91.25,12.63,0.0,81.51,520.08,534.73,36.04,0.0,5.89
United States,North America,2012,84.99,93.87,13.57,0.0,83.83,537.8,542.82,26.74,0.0,5.31
United States,North America,2013,87.19,93.39,10.87,0.0,88.29,544.29,551.42,29.19,0.0,5.23
United States,North America,2014,85.87,93.77,12.59,0.0,86.99,559.41,565.36,28.56,0.0,5.03
United States,North America,2015,88.94,94.42,10.2,0.0,86.65,557.1,563.9,29.36,0.0,4.85
United States,North America,2016,85.43,94.71,14.02,0.0,84.88,558.22,580.42,45.42,0.0,4.39
United States,North America,2017,84.18,96.92,17.59,0.0,82.46,567.78,584.04,39.62,0.0,4.09
United States,North America,2018,85.76,97.93,17.07,0.0,73.96,569.24,593.92,48.43,0.0,3.88
United States,North America,2019,84.84,98.58,18.67,0.0,73.53,563.7,607.67,68.27,0.0,4.28
United States,North America,2020,84.58,100.71,21.16,0.0,76.89,566.84,609.46,67.01,0.0,4.48
United States,North America,2021,88.33,102.58,19.38,0.0,72.94,573.2,612.91,64.23,0.0,4.38
United States,North America,2022,90.0,106.04,21.35,0.0,77.64,569.42,629.56,85.32,0.0,5.18
United States,North America,2023,94.66,107.41,18.13,0.0,81.57,576.82,630.36,78.75,0.0,5.57
United States,North America,2024,94.26,110.91,22.2,0.0,88.04,576.21,647.45,97.14,0.0,6.28
United States,North America,2025,98.54,112.54,19.63,0.0,86.86,586.66,659.48,99.19,0.0,6.23
Canada,North America,2010,44.24,68.0,27.16,0.0,74.05,155.76,324.14,181.35,0.0,6.02
Canada,North America,2011,45.92,70.13,27.72,0.0,76.94,156.47,331.53,188.32,0.0,5.61
Canada,North America,2012,47.39,68.65,24.69,0.0,81.43,162.9,337.61,188.21,0.0,5.18
Canada,North America,2013,47.06,70.2,26.65,0.0,89.23,164.76,340.82,189.69,0.0,5.21
Canada,North America,2014,46.14,71.37,28.8,0.0,88.04,166.26,350.36,198.12,0.0,5.02
Canada,North America,2015,47.56,70.86,26.85,0.0,84.13,164.9,344.95,193.85,0.0,4.22
Canada,North America,2016,46.68,72.52,29.47,0.0,83.8,163.03,348.83,199.76,0.0,4.46
Canada,North America,2017,47.54,76.32,32.6,0.0,74.95,167.6,353.55,200.09,0.0,4.1
Canada,North America,2018,45.9,74.62,32.45,0.0,80.27,164.8,362.3,212.0,0.0,4.0
Canada,North America,2019,47.08,75.51,32.2,0.0,75.56,162.1,366.43,218.99,0.0,4.48
Canada,North America,2020,48.41,79.04,34.58,0.0,72.7,165.42,369.5,218.86,0.0,4.1
Canada,North America,2021,51.25,79.12,31.83,0.0,78.46,169.8,377.53,222.83,0.0,4.76
Canada,North America,2022,50.93,81.74,34.9,0.0,77.57,167.84,391.17,238.98,0.0,4.84
Canada,North America,2023,51.26,83.83,36.76,0.0,82.18,176.21,397.77,237.47,0.0,5.73
Canada,North America,2024,54.17,85.68,35.79,0.0,87.91,174.47,410.72,252.68,0.0,6.55
Canada,North America,2025,53.72,85.84,36.41,0.0,95.39,175.93,422.16,263.12,0.0,6.55
Mexico,North America,2010,19.96,56.19,39.04,0.0,76.61,172.95,340.61,181.28,0.0,5.6
Mexico,North America,2011,20.69,55.94,38.05,0.0,79.54,182.22,356.35,188.39,0.0,5.86
Mexico,North America,2012,20.54,56.68,38.97,0.0,80.72,183.96,350.77,180.84,0.0,5.46
Mexico,North America,2013,21.82,56.34,37.34,0.0,84.41,190.76,358.91,182.5,0.0,5.52
Mexico,North America,2014,21.83,58.63,39.74,0.0,85.4,193.72,362.57,183.35,0.0,4.99
Mexico,North America,2015,21.67,57.38,38.58,0.0,91.4,196.97,370.97,188.83,0.0,5.04
Mexico,North America,2016,21.2,58.4,40.12,0.0,83.81,193.95,371.5,192.41,0.0,4.55
Mexico,North America,2017,21.09,58.7,40.54,0.0,77.62,192.66,377.63,200.08,0.0,3.9
Mexico,North America,2018,20.99,59.78,41.79,0.0,82.92,193.95,376.02,197.1,0.0,3.64
